Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-07-04,6L_W15_STOPE,132.0,3.02,0.39864,70.0,1.7476635514018692,0.12233644859813084
2025-07-04,6L_W2 STOPE,144.0,,0.24912,105.0,,0.24189252336448594
2025-07-04,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-04,6L_W4 STOPE,67.0,2.82,0.18894,70.0,2.3831775700934577,0.16682242990654203
2025-07-04,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-05,1L W28 STOPE,60.0,0.71,0.04259999999999999,70.0,1.350467289719626,0.09453271028037381
2025-07-05,3L_W23A STOPE,40.0,4.52,0.1808,70.0,1.9859813084112148,0.13901869158878502
2025-07-05,3L_W23B STOPE,82.0,0.4,0.0328,70.0,1.9859813084112148,0.13901869158878502
2025-07-05,3L_W24B STOPE,47.0,3.56,0.16732,70.0,1.8271028037383175,0.12789719626168222
2025-07-05,4L_W26 STOPE,70.0,0.32,0.022400000000000003,70.0,1.9462616822429906,0.13623831775700931
2025-07-05,5L_W11 STOPE,38.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-05,5L_W8 STOPE,38.0,1.58,0.06004,,,
2025-07-05,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-05,6L_W1 STOPE,124.0,2.87,0.35588,70.0,3.137850467289719,0.21964953271028034
2025-07-05,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-05,6L_W15_STOPE,107.0,3.02,0.32314,70.0,1.7476635514018692,0.12233644859813084
2025-07-05,6L_W2 STOPE,177.0,,0.4602,105.0,,0.24189252336448594
2025-07-05,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-05,6L_W4 STOPE,87.0,3.67,0.31929,70.0,2.3831775700934577,0.16682242990654203
2025-07-05,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-06,1L W28 STOPE,67.0,0.71,0.04757,70.0,1.350467289719626,0.09453271028037381
2025-07-06,3L_W23A STOPE,70.0,4.52,0.31639999999999996,70.0,1.9859813084112148,0.13901869158878502
2025-07-06,3L_W23B STOPE,72.0,0.4,0.0288,70.0,1.9859813084112148,0.13901869158878502
2025-07-06,3L_W24B STOPE,38.0,3.56,0.13528,70.0,1.8271028037383175,0.12789719626168222
2025-07-06,4L_W26 STOPE,,,,70.0,1.9462616822429906,0.13623831775700931
2025-07-06,5L_W11 STOPE,44.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-06,5L_W8 STOPE,97.0,1.58,0.15326,,,
2025-07-06,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-06,6L_W1 STOPE,111.0,2.87,0.31857,70.0,3.137850467289719,0.21964953271028034
2025-07-06,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-06,6L_W15_STOPE,112.0,3.02,0.33824,70.0,1.7476635514018692,0.12233644859813084
2025-07-06,6L_W2 STOPE,114.0,,0.29640000000000005,105.0,,0.24189252336448594
2025-07-06,6L_W3 STOPE,31.0,4.57,0.14167000000000002,70.0,2.9,0.203
2025-07-06,6L_W4 STOPE,71.0,3.67,0.26056999999999997,70.0,2.3831775700934577,0.16682242990654203
2025-07-06,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-07,1L W28 STOPE,84.0,0.89,0.07476000000000001,70.0,1.350467289719626,0.09453271028037381
2025-07-07,3L_W23A STOPE,41.0,3.53,0.14473,70.0,1.9859813084112148,0.13901869158878502
