DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,is_qaqc,ID
2025-08-01,5L,W12,A,CON-DRV,SCH,3.8,South,W12A_OP,,2,3.0,1.0,MM964272,2.65,1.458,,,,False,5L_W12_A_CON-DRV_South
2025-08-01,5L,W12,A,CON-DRV,SCH,3.8,South,W12A_OP,,3,4.0,1.0,MM964273,0.73,1.458,,,,False,5L_W12_A_CON-DRV_South
2025-08-01,5L,W12,A,CON-DRV,SCH,3.8,South,W12A_OP,,4,5.0,1.0,MM964274,0.78,1.458,,,,False,5L_W12_A_CON-DRV_South
2025-08-01,6L,W18,B,CON-DRV,SCH,5.2,West,W18B_OP,,0,1.0,1.0,MM905226,1.12,1.16,,,,False,6L_W18_B_CON-DRV_West
2025-08-01,6L,W18,B,CON-DRV,SCH,5.2,West,W18B_OP,,1,2.0,1.0,MM905227,1.14,1.16,,,,False,6L_W18_B_CON-DRV_West
2025-08-01,6L,W18,B,CON-DRV,SCH,5.2,West,W18B_OP,,2,3.0,1.0,MM905228,1.22,1.16,,,,False,6L_W18_B_CON-DRV_West
2025-08-01,6L,W15,A,SBL2,SCH,3.0,West,W15A_OP,,0,1.0,1.0,MM905229,1.14,1.4782857142857144,,,,False,6L_W15_A_SBL2_West
2025-08-01,6L,W15,A,SBL2,SCH,3.0,West,W15A_OP,FDUP,,,1.0,MM905230,0.75,1.4782857142857144,,,,True,6L_W15_A_SBL2_West
2025-08-01,6L,W15,A,SBL2,SCH,3.0,West,W15A_OP,,1,2.0,1.0,MM905231,0.72,1.4782857142857144,,,,False,6L_W15_A_SBL2_West
2025-08-01,6L,W15,A,SBL2,SCH,3.0,West,W15A_OP,,2,3.0,1.0,MM905232,0.58,1.4782857142857144,,,,False,6L_W15_A_SBL2_West
2025-08-01,6L,W15,A,SBL1,SCH,5.0,West,W15A_OP,,0,1.0,1.0,MM905233,1.23,1.4782857142857144,,,,False,6L_W15_A_SBL1_West
2025-08-01,6L,W15,A,SBL1,SCH,5.0,West,W15A_OP,,1,2.0,1.0,MM905234,0.99,1.4782857142857144,,,,False,6L_W15_A_SBL1_West
2025-08-01,6L,W15,A,SBL1,SCH,5.0,West,W15A_OP,BLANK,,,1.0,MM905235,1.06,1.4782857142857144,,,,True,6L_W15_A_SBL1_West
2025-08-01,6L,W15,A,SBL1,SCH,5.0,West,W15A_OP,,2,3.0,1.0,MM905236,0.61,1.4782857142857144,,,,False,6L_W15_A_SBL1_West
2025-08-01,6L,W15,A,SBL1,SCH,5.0,West,W15A_OP,,3,4.0,1.0,MM905237,5.078,1.4782857142857144,,,,False,6L_W15_A_SBL1_West
2025-08-01,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,1,0,1.0,1.0,MM905238,4.29,2.3925,,,,False,6L_W8_C_SBL2_East
2025-08-01,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,,1,2.0,1.0,MM905239,0.08,2.3925,,,,False,6L_W8_C_SBL2_East
2025-08-01,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,,2,3.0,1.0,MM905240,0.08,2.3925,,,,False,6L_W8_C_SBL2_East
2025-08-01,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,,3,4.0,1.0,MM905241,5.12,2.3925,,,,False,6L_W8_C_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,19,0,1.0,1.0,MM905242,2.72,4.57825,,,,False,6L_W4_SBL2_East
