Date,Source,METRIC1,METRIC2,Value
2025-08-17,Trucking (HOWO),# of Loads,Southwell,34.0
2025-08-18,Budget,Actual,Variance,18.0
2025-08-18,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-18,Southwell Shaft,Skips Hoisted,Budget Skips,181.11111111111111
2025-08-18,Tonnage Reconciliation,,Delivered vs Hoisted,0.012222222222222223
2025-08-18,Trucking (HOWO),# of Loads,Southwell,33.0
2025-08-19,Budget,Actual,Variance,19.0
2025-08-19,Lobe Shaft,Skips Hoisted,Budget Skips,111.42857142857143
2025-08-19,Southwell Shaft,Skips Hoisted,Budget Skips,156.66666666666666
2025-08-19,Tonnage Reconciliation,,Delivered vs Hoisted,0.3165618448637317
2025-08-19,Trucking (HOWO),# of Loads,Southwell,10.0
2025-08-20,Budget,Actual,Variance,20.0
2025-08-20,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-20,Southwell Shaft,Skips Hoisted,Budget Skips,181.11111111111111
2025-08-20,Tonnage Reconciliation,,Delivered vs Hoisted,0.021111111111111112
2025-08-20,Trucking (HOWO),# of Loads,Southwell,31.0
2025-08-21,Budget,Actual,Variance,21.0
2025-08-21,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-21,Southwell Shaft,Skips Hoisted,Budget Skips,181.11111111111111
2025-08-21,Tonnage Reconciliation,,Delivered vs Hoisted,0.016666666666666666
2025-08-21,Trucking (HOWO),# of Loads,Southwell,31.0
2025-08-22,Budget,Actual,Variance,22.0
2025-08-22,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-22,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-23,Budget,Actual,Variance,23.0
2025-08-23,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-23,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-24,Budget,Actual,Variance,24.0
2025-08-24,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-24,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-25,Budget,Actual,Variance,25.0
2025-08-25,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-25,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-26,Budget,Actual,Variance,26.0
2025-08-26,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-26,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-27,Budget,Actual,Variance,27.0
2025-08-27,Lobe Shaft,Skips Hoisted,Budget Skips,111.0
2025-08-27,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-28,Budget,Actual,Variance,28.0
2025-08-28,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-28,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-29,Budget,Actual,Variance,29.0
2025-08-29,Lobe Shaft,Skips Hoisted,Budget Skips,111.42857142857143
2025-08-29,Southwell Shaft,Skips Hoisted,Budget Skips,187.77777777777777
2025-08-30,Budget,Actual,Variance,30.0
2025-08-30,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-30,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
2025-08-31,Budget,Actual,Variance,31.0
2025-08-31,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-31,Southwell Shaft,Skips Hoisted,Budget Skips,212.22222222222223
