Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-08-05,5L_W11 STOPE,81.0,0.15,0.012150000000000001,70.0,1.7476635514018692,0.12233644859813084
2025-08-05,5L_W8 STOPE,79.0,3.14,0.24806,105.0,1.8271028037383175,0.19184579439252333
2025-08-05,6L_E1 STOPE,48.0,0.95,0.045599999999999995,35.0,3.137850467289719,0.10982476635514017
2025-08-05,6L_W13 STOPE,37.0,0.55,0.02035,35.0,1.9859813084112148,0.06950934579439251
2025-08-05,6L_W15_STOPE,96.0,0.23,0.022080000000000002,70.0,1.7476635514018692,0.12233644859813084
2025-08-05,6L_W18_STOPE,53.0,0.44,0.02332,70.0,2.7803738317757007,0.19462616822429904
2025-08-05,6L_W2 STOPE,165.0,,0.22110000000000002,140.0,,0.3558878504672897
2025-08-05,6L_W3 STOPE,90.0,2.32,0.20879999999999999,105.0,2.3831775700934577,0.25023364485981303
2025-08-05,6L_W8 STOPE,81.0,0.86,0.06966,105.0,2.7803738317757007,0.2919392523364486
2025-08-06,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-06,3L_W23B STOPE,123.0,3.47,0.42681,70.0,1.9859813084112148,0.13901869158878502
2025-08-06,4L_W26 STOPE,81.0,4.14,0.33533999999999997,70.0,1.9462616822429906,0.13623831775700931
2025-08-06,5L_W11 STOPE,126.0,1.7,0.2142,70.0,1.7476635514018692,0.12233644859813084
2025-08-06,5L_W8 STOPE,76.0,1.37,0.10412,105.0,1.8271028037383175,0.19184579439252333
2025-08-06,6L_E1 STOPE,74.0,4.52,0.33447999999999994,35.0,3.137850467289719,0.10982476635514017
2025-08-06,6L_W13 STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-06,6L_W15_STOPE,60.0,2.37,0.14220000000000002,70.0,1.7476635514018692,0.12233644859813084
2025-08-06,6L_W18_STOPE,44.0,1.75,0.077,70.0,2.7803738317757007,0.19462616822429904
2025-08-06,6L_W2 STOPE,170.0,,0.5831000000000001,140.0,,0.3558878504672897
2025-08-06,6L_W3 STOPE,98.0,4.97,0.48706,105.0,2.3831775700934577,0.25023364485981303
2025-08-06,6L_W8 STOPE,135.0,2.13,0.28755000000000003,105.0,2.7803738317757007,0.2919392523364486
2025-08-07,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-07,3L_W23B STOPE,123.0,2.79,0.34317000000000003,70.0,1.9859813084112148,0.13901869158878502
2025-08-07,4L_W26 STOPE,82.0,0.96,0.07872,70.0,1.9462616822429906,0.13623831775700931
2025-08-07,5L_W11 STOPE,84.0,1.81,0.15203999999999998,70.0,1.7476635514018692,0.12233644859813084
2025-08-07,5L_W8 STOPE,122.0,1.01,0.12322,105.0,1.8271028037383175,0.19184579439252333
2025-08-07,6L_E1 STOPE,36.0,7.0,0.252,35.0,3.137850467289719,0.10982476635514017
2025-08-07,6L_W13 STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-07,6L_W15_STOPE,97.0,3.37,0.32689,70.0,1.7476635514018692,0.12233644859813084
2025-08-07,6L_W18_STOPE,25.0,2.55,0.06374999999999999,70.0,2.7803738317757007,0.19462616822429904
2025-08-07,6L_W2 STOPE,136.0,,0.5875199999999999,140.0,,0.3558878504672897
2025-08-07,6L_W3 STOPE,135.0,6.73,0.9085500000000001,105.0,2.3831775700934577,0.25023364485981303
2025-08-07,6L_W8 STOPE,116.0,5.12,0.59392,105.0,2.7803738317757007,0.2919392523364486
2025-08-08,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-08,3L_W23B STOPE,121.0,1.45,0.17545,70.0,1.9859813084112148,0.13901869158878502
2025-08-08,4L_W26 STOPE,83.0,1.47,0.12201,70.0,1.9462616822429906,0.13623831775700931
2025-08-08,5L_W11 STOPE,123.0,0.75,0.09225,70.0,1.7476635514018692,0.12233644859813084
2025-08-08,5L_W8 STOPE,80.0,2.69,0.2152,105.0,1.8271028037383175,0.19184579439252333
2025-08-08,6L_E1 STOPE,49.0,4.15,0.20335000000000003,35.0,3.137850467289719,0.10982476635514017
2025-08-08,6L_W13 STOPE,61.0,2.39,0.14579000000000003,35.0,1.9859813084112148,0.06950934579439251
