Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-04,6L_W2 STOPE,196.5,2.19,0.43033499999999997,140.0,2.542056074766355,0.3558878504672897
2025-08-04,6L_W3 STOPE,45.0,2.49,0.11205000000000001,105.0,2.3831775700934577,0.25023364485981303
2025-08-04,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-04,6L_W8 STOPE,9.0,1.31,0.01179,105.0,2.7803738317757007,0.2919392523364486
2025-08-05,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-05,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-05,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-05,4L_W26 STOPE,198.0,1.36,0.26928,70.0,1.9462616822429906,0.13623831775700931
2025-08-05,5L_W11 STOPE,55.0,1.09,0.05995,70.0,1.7476635514018692,0.12233644859813084
2025-08-05,5L_W8 STOPE,155.0,2.02,0.31310000000000004,105.0,1.8271028037383175,0.19184579439252333
2025-08-05,6L_E1 STOPE,54.0,5.26,0.28403999999999996,35.0,3.137850467289719,0.10982476635514017
2025-08-05,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-05,6L_W13 STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-05,6L_W15_STOPE,15.0,0.67,0.01005,70.0,1.7476635514018692,0.12233644859813084
2025-08-05,6L_W18_STOPE,30.0,6.35,0.1905,70.0,2.7803738317757007,0.19462616822429904
2025-08-05,6L_W2 STOPE,275.5,3.84,1.05792,140.0,2.542056074766355,0.3558878504672897
2025-08-05,6L_W3 STOPE,109.5,3.76,0.41172,105.0,2.3831775700934577,0.25023364485981303
2025-08-05,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-05,6L_W8 STOPE,55.5,0.72,0.03996,105.0,2.7803738317757007,0.2919392523364486
2025-08-06,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-06,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-06,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-06,4L_W26 STOPE,240.0,0.56,0.13440000000000002,70.0,1.9462616822429906,0.13623831775700931
2025-08-06,5L_W11 STOPE,86.0,1.03,0.08857999999999999,70.0,1.7476635514018692,0.12233644859813084
2025-08-06,5L_W8 STOPE,132.0,1.76,0.23232,105.0,1.8271028037383175,0.19184579439252333
2025-08-06,6L_E1 STOPE,60.0,4.68,0.28079999999999994,35.0,3.137850467289719,0.10982476635514017
2025-08-06,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-06,6L_W13 STOPE,30.0,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-06,6L_W15_STOPE,,,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-06,6L_W18_STOPE,30.0,,0.0,70.0,2.7803738317757007,0.19462616822429904
2025-08-06,6L_W2 STOPE,240.0,3.97,0.9528000000000001,140.0,2.542056074766355,0.3558878504672897
2025-08-06,6L_W3 STOPE,57.0,2.43,0.13851000000000002,105.0,2.3831775700934577,0.25023364485981303
2025-08-06,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-06,6L_W8 STOPE,100.0,3.35,0.335,105.0,2.7803738317757007,0.2919392523364486
2025-08-07,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-07,3L_W23B STOPE,72.0,2.64,0.19008,70.0,1.9859813084112148,0.13901869158878502
2025-08-07,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-07,4L_W26 STOPE,240.0,2.64,0.6336,70.0,1.9462616822429906,0.13623831775700931
2025-08-07,5L_W11 STOPE,98.0,0.75,0.0735,70.0,1.7476635514018692,0.12233644859813084
2025-08-07,5L_W8 STOPE,110.0,2.85,0.3135,105.0,1.8271028037383175,0.19184579439252333
2025-08-07,6L_E1 STOPE,27.0,2.78,0.07505999999999999,35.0,3.137850467289719,0.10982476635514017
2025-08-07,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-07,6L_W13 STOPE,13.0,2.78,0.03614,35.0,1.9859813084112148,0.06950934579439251
2025-08-07,6L_W15_STOPE,,,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-07,6L_W18_STOPE,30.0,1.62,0.048600000000000004,70.0,2.7803738317757007,0.19462616822429904
2025-08-07,6L_W2 STOPE,187.0,1.27,0.23749,140.0,2.542056074766355,0.3558878504672897
2025-08-07,6L_W3 STOPE,118.0,1.66,0.19588,105.0,2.3831775700934577,0.25023364485981303
2025-08-07,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-07,6L_W8 STOPE,48.0,3.27,0.15696000000000002,105.0,2.7803738317757007,0.2919392523364486
2025-08-08,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-08,3L_W23B STOPE,,2.25,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-08,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-08,4L_W26 STOPE,276.0,2.25,0.621,70.0,1.9462616822429906,0.13623831775700931
2025-08-08,5L_W11 STOPE,96.0,0.75,0.072,70.0,1.7476635514018692,0.12233644859813084
2025-08-08,5L_W8 STOPE,102.0,2.94,0.29988,105.0,1.8271028037383175,0.19184579439252333
2025-08-08,6L_E1 STOPE,72.0,3.24,0.23328000000000004,35.0,3.137850467289719,0.10982476635514017
2025-08-08,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-08,6L_W13 STOPE,30.0,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-08,6L_W15_STOPE,37.0,2.15,0.07955,70.0,1.7476635514018692,0.12233644859813084
